iter	RMSE
0	39.03972017
1	37.19911392
2	35.43845946
3	33.76179897
4	32.1668464
5	30.69611151
6	29.25618863
7	27.87821622
8	26.58615275
9	25.32816916
10	24.13698446
11	23.01412533
12	21.96132387
13	20.96895765
14	20.01155168
15	19.07987746
16	18.23080708
17	17.38594764
18	16.61221186
19	15.860503
20	15.14347624
21	14.46663553
22	13.8322112
23	13.23849217
24	12.66222574
25	12.10492033
26	11.5821478
27	11.08185993
28	10.6249483
29	10.16319503
30	9.733375904
31	9.32683992
32	8.929554107
33	8.564285628
34	8.217747948
35	7.877080351
36	7.561151282
37	7.253689705
38	6.963600606
39	6.699831348
40	6.444417045
41	6.203978143
42	5.978170486
43	5.763513523
44	5.558637878
45	5.360668431
46	5.171317279
47	4.996277993
48	4.837114545
49	4.684153797
50	4.540207734
51	4.399905917
52	4.272119959
53	4.156370275
54	4.03729334
55	3.926322894
56	3.826767229
57	3.738800427
58	3.651165357
59	3.565592069
60	3.490359482
61	3.419941364
62	3.349089663
63	3.283012863
64	3.226119038
65	3.166806509
66	3.113682872
67	3.063318588
68	3.016963545
69	2.977561619
70	2.942657701
71	2.908334952
72	2.879061222
73	2.847262281
74	2.817654242
75	2.789166226
76	2.764312654
77	2.739378304
78	2.715615758
79	2.693341057
80	2.672235422
81	2.652925724
82	2.635612407
83	2.620216674
84	2.606178004
85	2.590938244
86	2.577445095
87	2.564190746
88	2.552405204
89	2.539546211
90	2.527848617
91	2.517324798
92	2.505941733
93	2.497270416
94	2.489108091
95	2.481538677
96	2.474292579
97	2.4673668
98	2.462073763
99	2.455113441
100	2.448356744
101	2.442502545
102	2.437604064
103	2.432072268
104	2.426126514
105	2.421143566
106	2.416068159
107	2.411205976
108	2.40672236
109	2.399890915
110	2.392892274
111	2.389916755
112	2.385924933
113	2.38275781
114	2.377839226
115	2.375009908
116	2.371118973
117	2.368298426
118	2.364402119
119	2.361402482
120	2.35842103
121	2.355424992
122	2.349287568
123	2.346657339
124	2.343616066
125	2.341169015
126	2.336699087
127	2.33491071
128	2.331556028
129	2.329172649
130	2.326374406
131	2.324477994
132	2.322610191
133	2.31837448
134	2.315687939
135	2.311954541
136	2.309525216
137	2.306359197
138	2.304349652
139	2.30233236
140	2.300624857
141	2.298889604
142	2.296574173
143	2.295115371
144	2.293411719
145	2.289051757
146	2.286849508
147	2.284552584
148	2.280922607
149	2.27945885
150	2.277507772
151	2.275886422
152	2.274535513
153	2.272244359
154	2.271117976
155	2.269810561
156	2.266880497
157	2.264540009
158	2.262106355
159	2.258839497
160	2.25688726
161	2.255204222
162	2.253541979
163	2.251989653
164	2.249198972
165	2.247487525
166	2.246603279
167	2.245549102
168	2.242445425
169	2.240482874
170	2.239661436
171	2.237174334
172	2.236257405
173	2.234337292
174	2.231350303
175	2.230265298
176	2.229355156
177	2.228138682
178	2.227028652
179	2.22533084
180	2.22360661
181	2.222196715
182	2.221126632
183	2.219222308
184	2.217572116
185	2.216618725
186	2.21460537
187	2.213094508
188	2.211213349
189	2.210076526
190	2.209132254
191	2.207749878
192	2.206512505
193	2.20380096
194	2.202029561
195	2.200779997
196	2.198347434
197	2.197027623
198	2.195350202
199	2.193482443
200	2.191860888
201	2.190187681
202	2.189355142
203	2.187767574
204	2.185986424
205	2.184877229
206	2.183173598
207	2.181910724
208	2.18041417
209	2.177718421
210	2.176734913
211	2.174605181
212	2.172339684
213	2.169657656
214	2.168800588
215	2.167634154
216	2.166871375
217	2.164466466
218	2.162559113
219	2.160993975
220	2.15935009
221	2.157912246
222	2.156245267
223	2.15410365
224	2.153146416
225	2.151489423
226	2.150460535
227	2.148573707
228	2.14682177
229	2.144944276
230	2.142533242
231	2.140654157
232	2.138298383
233	2.136877991
234	2.135082236
235	2.133854575
236	2.13273188
237	2.130894605
238	2.129051055
239	2.12499082
240	2.123483662
241	2.122577464
242	2.121469309
243	2.119888035
244	2.117920256
245	2.116809163
246	2.115607703
247	2.113557428
248	2.111719912
249	2.110326144
250	2.108452382
251	2.107493866
252	2.105526057
253	2.104730448
254	2.101239654
255	2.099474403
256	2.098408396
257	2.096844415
258	2.093731359
259	2.092450915
260	2.090245582
261	2.089269566
262	2.088266899
263	2.087032091
264	2.085320026
265	2.084095447
266	2.082488416
267	2.081365668
268	2.079674507
269	2.078261892
270	2.07727545
271	2.075516907
272	2.073868925
273	2.072589335
274	2.070857768
275	2.069348831
276	2.067570077
277	2.066875905
278	2.065527445
279	2.064499583
280	2.063278237
281	2.062109147
282	2.061140447
283	2.059780811
284	2.058207669
285	2.056803713
286	2.055119362
287	2.053928786
288	2.052705916
289	2.052005126
290	2.050587548
291	2.047983256
292	2.046412896
293	2.043828385
294	2.042266194
295	2.041076008
296	2.039978157
297	2.039063287
298	2.03789716
299	2.037034235
300	2.036140938
301	2.034400583
302	2.0337749
303	2.031338418
304	2.030262214
305	2.028660087
306	2.028081691
307	2.027262392
308	2.026124946
309	2.024392832
310	2.023530348
311	2.022534471
312	2.021512349
313	2.020605788
314	2.019521241
315	2.018389815
316	2.017513066
317	2.016357149
318	2.014684425
319	2.013677175
320	2.012920341
321	2.011593829
322	2.010615277
323	2.00966965
324	2.008753673
325	2.00738987
326	2.006670046
327	2.005761864
328	2.004871202
329	2.003614884
330	2.002836308
331	2.001592881
332	2.000007003
333	1.998869602
334	1.997931746
335	1.997121726
336	1.99620039
337	1.994810953
338	1.992562951
339	1.991997126
340	1.990924438
341	1.989564007
342	1.988567979
343	1.987635829
344	1.986076222
345	1.985418817
346	1.984208218
347	1.983228596
348	1.981912188
349	1.980501681
350	1.979289328
351	1.978675423
352	1.977839749
353	1.977301068
354	1.976668337
355	1.976103597
356	1.974839301
357	1.974368482
358	1.973262611
359	1.972076679
360	1.971101722
361	1.969984168
362	1.969211244
363	1.968767933
364	1.967984745
365	1.966858999
366	1.966045477
367	1.965167448
368	1.964253472
369	1.96321742
370	1.962232972
371	1.961644794
372	1.961107387
373	1.959986954
374	1.958959202
375	1.958102115
376	1.957057216
377	1.956403683
378	1.955735561
379	1.954769401
380	1.954165721
381	1.953396627
382	1.952605946
383	1.951851024
384	1.951128431
385	1.950225462
386	1.948986762
387	1.948263444
388	1.947380491
389	1.946466349
390	1.945942446
391	1.945157605
392	1.944606541
393	1.943769384
394	1.942759912
395	1.942308307
396	1.941269909
397	1.940429844
398	1.939523427
399	1.938095446
400	1.93739234
401	1.936970324
402	1.935058599
403	1.934023073
404	1.93326043
405	1.93241333
406	1.931964076
407	1.930793858
408	1.929119446
409	1.928303743
410	1.927238013
411	1.926321925
412	1.92553732
413	1.925027131
414	1.924111943
415	1.923235254
416	1.922340016
417	1.921380291
418	1.920555085
419	1.918994945
420	1.918711248
421	1.916801253
422	1.916226601
423	1.915395732
424	1.914482709
425	1.913787395
426	1.913090464
427	1.912519995
428	1.911850169
429	1.91052876
430	1.90981518
431	1.908753847
432	1.907973676
433	1.907289313
434	1.906539465
435	1.905766639
436	1.904166876
437	1.903271438
438	1.902365011
439	1.901764198
440	1.901056855
441	1.899094198
442	1.898477932
443	1.897979056
444	1.897193398
445	1.89678868
446	1.896116969
447	1.895576212
448	1.894607742
449	1.893831886
450	1.89261943
451	1.891693419
452	1.891139205
453	1.889618869
454	1.889014758
455	1.888288435
456	1.887897357
457	1.886830165
458	1.885804556
459	1.885240972
460	1.884552355
461	1.884155431
462	1.882328343
463	1.881352456
464	1.880526984
465	1.879854134
466	1.879147478
467	1.878236034
468	1.877512024
469	1.876885657
470	1.876044251
471	1.875442857
472	1.874760772
473	1.874134178
474	1.873053584
475	1.871584932
476	1.871122916
477	1.870070015
478	1.869664523
479	1.869026151
480	1.867828298
481	1.867024937
482	1.86638656
483	1.865326851
484	1.864356481
485	1.863133719
486	1.86229476
487	1.861571701
488	1.860931013
489	1.859922585
490	1.859129487
491	1.858254877
492	1.857522824
493	1.856588956
494	1.856079345
495	1.855139875
496	1.854362874
497	1.853364092
498	1.852557297
499	1.852106456
