iter	Passed	Remaining
0	115	57703
1	121	30331
2	127	21189
3	134	16650
4	145	14399
5	152	12538
6	159	11208
7	166	10213
8	173	9478
9	180	8828
10	187	8315
11	194	7896
12	200	7514
13	207	7196
14	213	6912
15	220	6675
16	227	6455
17	234	6286
18	241	6124
19	249	5977
20	255	5837
21	263	5722
22	270	5603
23	276	5484
24	283	5381
25	290	5292
26	297	5207
27	304	5140
28	311	5062
29	318	4993
30	326	4933
31	333	4872
32	340	4819
33	347	4756
34	354	4705
35	361	4655
36	368	4606
37	374	4553
38	380	4503
39	388	4462
40	394	4420
41	402	4388
42	411	4375
43	417	4328
44	424	4289
45	431	4254
46	444	4285
47	455	4289
48	462	4261
49	470	4238
50	477	4206
51	484	4174
52	492	4153
53	499	4124
54	506	4100
55	514	4078
56	522	4063
57	529	4037
58	537	4019
59	544	3990
60	554	3992
61	561	3966
62	569	3951
63	576	3925
64	584	3909
65	590	3886
66	598	3868
67	607	3856
68	614	3836
69	622	3824
70	630	3812
71	638	3794
72	648	3790
73	655	3775
74	662	3755
75	671	3745
76	678	3725
77	686	3715
78	693	3694
79	700	3680
80	707	3659
81	717	3656
82	724	3639
83	736	3645
84	746	3644
85	754	3633
86	761	3616
87	770	3605
88	777	3588
89	785	3577
90	792	3560
91	805	3570
92	813	3558
93	820	3542
94	826	3523
95	835	3516
96	842	3499
97	850	3489
98	857	3474
99	865	3463
100	873	3450
101	882	3442
102	889	3426
103	898	3421
104	905	3407
105	914	3399
106	922	3386
107	929	3372
108	937	3361
109	944	3350
110	951	3335
111	959	3323
112	965	3307
113	972	3294
114	981	3286
115	988	3271
116	996	3262
117	1003	3248
118	1011	3240
119	1019	3227
120	1027	3219
121	1034	3205
122	1043	3198
123	1050	3184
124	1059	3178
125	1066	3167
126	1073	3154
127	1080	3138
128	1086	3124
129	1093	3113
130	1100	3099
131	1108	3089
132	1115	3077
133	1123	3068
134	1130	3056
135	1138	3046
136	1145	3034
137	1153	3024
138	1162	3018
139	1169	3006
140	1177	2997
141	1189	2998
142	1196	2986
143	1203	2974
144	1211	2966
145	1218	2955
146	1228	2950
147	1235	2938
148	1242	2927
149	1249	2915
150	1256	2904
151	1263	2891
152	1269	2879
153	1275	2866
154	1282	2853
155	1288	2841
156	1296	2832
157	1302	2820
158	1309	2807
159	1315	2796
160	1322	2784
161	1329	2774
162	1338	2768
163	1345	2757
164	1353	2747
165	1359	2736
166	1366	2724
167	1372	2712
168	1380	2704
169	1387	2693
170	1394	2682
171	1401	2672
172	1408	2662
173	1415	2651
174	1422	2642
175	1429	2632
176	1437	2622
177	1442	2610
178	1449	2598
179	1456	2588
180	1462	2577
181	1469	2568
182	1476	2557
183	1484	2549
184	1491	2539
185	1498	2529
186	1505	2519
187	1511	2508
188	1520	2502
189	1527	2492
190	1535	2483
191	1542	2474
192	1549	2465
193	1556	2455
194	1563	2444
195	1569	2434
196	1575	2423
197	1586	2419
198	1593	2409
199	1600	2400
200	1607	2390
201	1614	2381
202	1621	2372
203	1628	2362
204	1635	2353
205	1643	2345
206	1649	2335
207	1657	2327
208	1665	2318
209	1672	2309
210	1678	2298
211	1684	2288
212	1691	2279
213	1698	2269
214	1705	2261
215	1711	2250
216	1721	2245
217	1728	2236
218	1736	2227
219	1743	2218
220	1750	2209
221	1757	2200
222	1764	2191
223	1771	2182
224	1778	2173
225	1784	2163
226	1790	2153
227	1797	2144
228	1804	2135
229	1811	2126
230	1817	2116
231	1824	2107
232	1830	2097
233	1837	2088
234	1845	2080
235	1851	2071
236	1859	2063
237	1865	2053
238	1873	2045
239	1879	2036
240	1885	2026
241	1892	2017
242	1900	2009
243	1907	2000
244	1913	1991
245	1920	1982
246	1927	1974
247	1934	1965
248	1939	1955
249	1945	1945
250	1951	1935
251	1958	1927
252	1965	1918
253	1975	1913
254	1987	1909
255	2010	1916
256	2061	1948
257	2075	1946
258	2096	1951
259	2115	1952
260	2131	1951
261	2163	1965
262	2186	1970
263	2212	1977
264	2224	1972
265	2240	1970
266	2250	1963
267	2264	1960
268	2278	1956
269	2291	1952
270	2304	1947
271	2330	1953
272	2340	1945
273	2351	1939
274	2359	1930
275	2367	1921
276	2373	1911
277	2382	1902
278	2389	1892
279	2396	1883
280	2402	1872
281	2410	1863
282	2416	1852
283	2422	1842
284	2429	1832
285	2436	1822
286	2445	1814
287	2456	1808
288	2464	1799
289	2473	1790
290	2479	1780
291	2486	1770
292	2493	1761
293	2500	1752
294	2508	1743
295	2515	1733
296	2522	1724
297	2529	1714
298	2535	1704
299	2542	1694
300	2549	1685
301	2555	1675
302	2561	1665
303	2568	1655
304	2574	1646
305	2581	1636
306	2588	1627
307	2598	1619
308	2607	1611
309	2619	1605
310	2626	1595
311	2632	1586
312	2638	1576
313	2645	1567
314	2652	1557
315	2659	1548
316	2666	1539
317	2673	1530
318	2680	1520
319	2723	1532
320	2738	1526
321	2751	1521
322	2771	1518
323	2786	1513
324	2802	1509
325	2811	1500
326	2823	1493
327	2835	1487
328	2846	1479
329	2853	1469
330	2861	1460
331	2870	1452
332	2878	1443
333	2885	1434
334	2892	1424
335	2900	1415
336	2907	1406
337	2913	1396
338	2920	1387
339	2927	1377
340	2933	1367
341	2940	1358
342	2948	1349
343	2955	1340
