Serial No,Cement_kg_m3,Fly_Ash_kg_m3,GGBS_kg_m3,metakolin_kg_m3,TCM,Water_kg_m3,water/TCM,Sand_kg_m3,AGE,Compressive_Strength_MPa,Density,admixture,Coarse aggregate
1,351.62,0.0,464.2,203.96,1019.78,148.29,0.145,1039.8,28,142.08,2249.16,41.3,0.0
2,200.72,83.63,50.18,0.0,334.53,140.08,0.419,786.62,7,24.331,2473.48,2.14,1210.11
3,224.49,101.51,82.96,0.97,409.93,177.07,0.432,763.24,14,40.474,2524.05,2.57,1171.23
4,343.11,0.0,471.03,203.53,1017.67,140.94,0.138,1028.71,28,145.14,2220.2,32.88,0.0
5,198.91,82.88,49.73,0.0,331.51,149.24,0.45,713.95,3,18.021,2376.12,2.2,1179.21
6,222.73,100.92,81.79,0.58,406.01,168.95,0.416,699.97,7,40.287,2479.59,3.23,1201.42
7,347.97,0.0,473.02,205.25,1026.25,151.35,0.147,975.58,14,129.577,2184.54,31.37,0.0
8,285.8,53.91,203.88,100.89,644.48,122.43,0.19,830.84,28,103.27,2545.21,17.0,930.46
9,200.98,83.74,50.24,0.0,334.96,140.85,0.421,712.2,3,20.245,2390.3,2.77,1199.52
10,222.72,89.67,109.91,21.21,443.5,144.37,0.326,746.25,7,49.565,2521.66,6.36,1181.17
11,343.55,0.0,456.8,200.09,1000.43,147.82,0.148,1095.44,28,142.64,2279.89,36.2,0.0
12,346.37,0.0,445.34,197.93,989.64,153.89,0.156,1039.68,28,134.85,2222.2,38.99,0.0
13,340.85,0.0,438.24,194.77,973.86,154.3,0.158,956.78,28,137.17,2115.02,30.08,0.0
14,270.2,57.79,183.26,91.38,602.64,128.19,0.213,832.87,7,63.574,2512.85,13.47,935.68
15,279.22,50.16,202.68,100.03,632.09,124.12,0.196,830.22,28,104.13,2509.55,15.66,907.46
16,212.33,91.76,62.95,0.0,367.04,164.93,0.449,700.55,28,34.303,2467.4,3.34,1231.55
17,197.01,82.09,49.25,0.0,328.34,157.05,0.478,707.4,3,13.102,2381.29,2.64,1185.85
18,344.85,0.0,491.41,209.07,1045.33,140.36,0.134,999.63,28,148.04,2229.34,44.01,0.0
19,223.08,90.87,107.44,19.3,440.69,147.04,0.334,752.96,14,48.759,2559.31,4.86,1213.76
20,330.59,0.0,425.05,188.91,944.56,149.0,0.158,1056.99,28,131.83,2183.34,32.8,0.0
21,196.1,81.71,49.02,0.0,326.83,158.52,0.485,749.38,3,12.176,2439.42,2.42,1202.27
22,207.94,87.39,54.22,0.0,349.55,147.29,0.421,703.14,7,29.65,2415.75,2.13,1213.64
23,233.56,91.63,116.78,25.15,467.12,158.29,0.339,697.45,14,51.925,2499.23,5.86,1170.52
24,328.85,0.0,422.81,187.92,939.58,145.74,0.155,993.46,28,131.15,2109.12,30.34,0.0
25,195.43,81.43,48.86,0.0,325.72,143.6,0.441,763.34,3,10.813,2472.61,2.81,1237.15
26,220.89,97.69,72.19,0.0,390.78,172.01,0.44,753.93,7,34.384,2550.1,2.64,1230.74
27,246.59,87.64,124.78,36.15,495.16,182.09,0.368,711.4,14,59.046,2528.81,5.99,1134.17
28,211.18,91.66,63.79,0.0,366.62,161.64,0.441,751.07,28,34.8,2474.55,3.46,1191.74
29,201.18,83.83,50.3,0.0,335.3,142.97,0.426,794.29,3,22.496,2456.96,2.08,1182.32
30,296.13,38.06,236.0,114.95,685.14,127.28,0.186,847.18,28,108.89,2675.0,19.16,996.24
31,251.06,81.71,157.49,54.47,544.74,149.86,0.275,737.09,14,76.37,2494.9,9.53,1053.69
32,342.57,0.0,449.09,197.91,989.57,149.09,0.151,991.8,28,141.53,2165.5,35.04,0.0
33,192.38,80.16,48.09,0.0,320.63,157.96,0.493,748.95,3,15.149,2478.13,2.03,1248.57
34,323.29,21.08,289.55,142.67,776.59,131.77,0.17,823.76,28,114.57,2472.62,22.02,718.46
35,331.45,11.68,312.76,155.21,811.11,141.71,0.175,853.58,14,99.892,2356.33,22.84,527.09
36,249.33,82.24,161.89,54.83,548.3,170.04,0.31,722.45,28,78.42,2558.97,9.1,1109.09
37,342.81,0.0,491.91,208.68,1043.4,151.26,0.145,983.97,28,148.58,2210.19,31.55,0.0
38,287.78,49.45,212.01,104.41,653.65,137.03,0.21,788.67,28,104.87,2588.27,15.23,993.67
39,234.56,88.85,117.28,28.43,469.12,153.99,0.328,744.73,14,55.297,2567.19,5.49,1193.87
40,298.17,41.97,232.55,113.61,686.3,123.41,0.18,805.52,28,107.77,2586.85,18.66,952.97
41,215.41,91.03,57.69,0.0,364.14,150.06,0.412,790.04,3,31.688,2519.86,2.32,1213.31
42,256.48,80.85,143.35,52.42,533.11,151.23,0.284,744.86,7,67.22,2608.94,8.78,1170.97
43,279.76,49.12,204.65,100.89,634.42,137.93,0.217,766.16,14,104.515,2544.52,16.16,989.86
