Serial No,Cement_kg_m3,Fly_Ash_kg_m3,GGBS_kg_m3,metakolin_kg_m3,TCM,Water_kg_m3,water/TCM,Sand_kg_m3,AGE,Compressive_Strength_MPa,admixture,Coarse aggregate,SCMContent,Binder,WBRatio,AggregateToBinder,AdmixtureToBinder
1,351.62,0.0,464.2,203.96,1019.78,148.29,0.145,1039.8,28,142.08,41.3,0.0,668.16,1019.78,0.14541371668399067,1.0196316852654495,0.04049893114201102
2,200.72,83.63,50.18,0.0,334.53,140.08,0.419,786.62,7,24.331,2.14,1210.11,133.81,334.53,0.41873673512091597,5.968762143903388,0.006397034645622217
3,224.49,101.51,82.96,0.97,409.93,177.07,0.432,763.24,14,40.474,2.57,1171.23,185.44,409.93,0.4319517966482082,4.7190251994242916,0.006269363061986192
4,343.11,0.0,471.03,203.53,1017.67,140.94,0.138,1028.71,28,145.14,32.88,0.0,674.56,1017.67,0.1384928316644885,1.0108483103560093,0.03230909823420166
5,198.91,82.88,49.73,0.0,331.51,149.24,0.45,713.95,3,18.021,2.2,1179.21,132.60999999999999,331.52,0.45016891891891897,5.710545366795367,0.006636100386100387
6,222.73,100.92,81.79,0.58,406.01,168.95,0.416,699.97,7,40.287,3.23,1201.42,183.29000000000002,406.02,0.4161125067730654,4.682995911531452,0.007955273139254225
7,347.97,0.0,473.02,205.25,1026.25,151.35,0.147,975.58,14,129.577,31.37,0.0,678.27,1026.24,0.14748012160898036,0.9506353289678828,0.03056789834736514
8,285.8,53.91,203.88,100.89,644.48,122.43,0.19,830.84,28,103.27,17.0,930.46,358.67999999999995,644.48,0.1899671052631579,2.732900943396227,0.02637785501489573
9,200.98,83.74,50.24,0.0,334.96,140.85,0.421,712.2,3,20.245,2.77,1199.52,133.98,334.96,0.42049796990685456,5.707308335323622,0.008269644136613328
10,222.72,89.67,109.91,21.21,443.5,144.37,0.326,746.25,7,49.565,6.36,1181.17,220.79,443.51,0.3255168992807378,4.345832112015513,0.014340150165723434
11,343.55,0.0,456.8,200.09,1000.43,147.82,0.148,1095.44,28,142.64,36.2,0.0,656.89,1000.44,0.1477549878053656,1.094958218383911,0.03618407900523769
12,346.37,0.0,445.34,197.93,989.64,153.89,0.156,1039.68,28,134.85,38.99,0.0,643.27,989.64,0.1555009902590841,1.0505638413968716,0.03939816498928904
13,340.85,0.0,438.24,194.77,973.86,154.3,0.158,956.78,28,137.17,30.08,0.0,633.01,973.86,0.1584416651264042,0.9824615447805639,0.03088739654570472
14,270.2,57.79,183.26,91.38,602.64,128.19,0.213,832.87,7,63.574,13.47,935.68,332.42999999999995,602.6299999999999,0.2127175879063439,2.9347194796143574,0.022352023629756242
15,279.22,50.16,202.68,100.03,632.09,124.12,0.196,830.22,28,104.13,15.66,907.46,352.87,632.09,0.1963644417725324,2.7491021848154533,0.024774952933917637
16,212.33,91.76,62.95,0.0,367.04,164.93,0.449,700.55,28,34.303,3.34,1231.55,154.71,367.04,0.4493515693112467,5.264003923278116,0.009099825632083695
17,197.01,82.09,49.25,0.0,328.34,157.05,0.478,707.4,3,13.102,2.64,1185.85,131.34,328.35,0.47830059387848334,5.765950966955992,0.008040201005025125
18,344.85,0.0,491.41,209.07,1045.33,140.36,0.134,999.63,28,148.04,44.01,0.0,700.48,1045.33,0.13427338735136274,0.9562817483474119,0.04210153731357562
19,223.08,90.87,107.44,19.3,440.69,147.04,0.334,752.96,14,48.759,4.86,1213.76,217.61,440.69000000000005,0.33365858086183026,4.462819669155188,0.011028160384851028
20,330.59,0.0,425.05,188.91,944.56,149.0,0.158,1056.99,28,131.83,32.8,0.0,613.96,944.55,0.15774707532687524,1.1190408130855964,0.034725530675983274
21,196.1,81.71,49.02,0.0,326.83,158.52,0.485,749.38,3,12.176,2.42,1202.27,130.73,326.83,0.48502279472508647,5.971453048985712,0.0074044610347887285
22,207.94,87.39,54.22,0.0,349.55,147.29,0.421,703.14,7,29.65,2.13,1213.64,141.61,349.55,0.42137033328565293,5.4835645830353315,0.0060935488485195245
23,233.56,91.63,116.78,25.15,467.12,158.29,0.339,697.45,14,51.925,5.86,1170.52,233.56,467.12,0.3388636752868642,3.9989082034594965,0.01254495632813838
24,328.85,0.0,422.81,187.92,939.58,145.74,0.155,993.46,28,131.15,30.34,0.0,610.73,939.58,0.15511185848996362,1.057344771067924,0.03229102364886439
25,195.43,81.43,48.86,0.0,325.72,143.6,0.441,763.34,3,10.813,2.81,1237.15,130.29000000000002,325.72,0.4408694584305538,6.141747513201523,0.00862704163084858
26,220.89,97.69,72.19,0.0,390.78,172.01,0.44,753.93,7,34.384,2.64,1230.74,169.88,390.77,0.44018220436573946,5.078869923484403,0.006755892212810605
27,246.59,87.64,124.78,36.15,495.16,182.09,0.368,711.4,14,59.046,5.99,1134.17,248.57000000000002,495.16,0.36773972049438564,3.727219484611035,0.012097099927296228
28,211.18,91.66,63.79,0.0,366.62,161.64,0.441,751.07,28,34.8,3.46,1191.74,155.45,366.63,0.4408804516815318,5.299102637536481,0.009437307367100346
29,201.18,83.83,50.3,0.0,335.3,142.97,0.426,794.29,3,22.496,2.08,1182.32,134.13,335.31,0.4263815573648266,5.894873400733649,0.006203214935432883
30,296.13,38.06,236.0,114.95,685.14,127.28,0.186,847.18,28,108.89,19.16,996.24,389.01,685.14,0.18577225092681787,2.6905741892168025,0.027965087427387104
